"NumberExercises","NameExercises","Description","WorkOn","levelThis"
2,"לג פרס"," לשבת על המכונה עם גב על תמיכה מרופד. מקום על הרגליים. הרחבת ירכיים וברכיים. שחרר את ידית המעגן ואת ידיות אחיזה לצדדים. מזחלת תחתון על ידי כופפים מתנים וברכיים עד הברכיים רק קצר של גמישות מלאה. חזור על ידי הרחבת הברכיים והירכיים. חזור על כך.",1,2
3,"דדליפט קלאסי"," עם רגליים שטוחות מתחת לבר, מתיישב למטה לתפוס בר עם רוחב הכתף או מעט רחב יותר יד או אחיזה מעורבת. הרם בר על ידי הרחבת ירכיים וברכיים להארכה מלאה. משוך את הכתפיים בחזרה למעלה במעלית אם מעוגל. חזור וחזור.",1,1
4,"לחיצת חזה כנגד מוט בשכיבה",,2,1
5,"פרפר",,2,1
6,"מתח בתוספת משקל",,3,1
7,"משיגת פולי עליון לפנים באחיזה רחבה בישיבה",,3,2
8,"חטירה בהטיה לפנים",,3,2
9,"לחיצת כתפיים כנגד מוט באחיזה רחבה בעמידה",,4,2
10,"הרחקת כתפיים כנגד משקולית יד בעמידה",,4,1
11,"מקבילים באחיזה צרה בתוספת משקל",,5,2
12,"פשיטת מרפקים כנגד מוט",,5,1
13,"כפיפת מרפקים כנגד מוט בעמידה",,6,2
14,"כפיפת גו במכונה ייעודית",,7,1
15,"כפיפות בטן",,7,2
16,"חתירה עם מוט בעמידה","דגשים לביצוע נכון: 1.אחיזה צרה,מרפקים קרובים לגוף. 2.מרפק מוביל תנועה. 3.בזמן ביצוע תרגיל יש להקפיד על גו ישר.  4.הוצאת אויר בזמן מאמץ(חתירה)והכנסת אויר בזמן יישור ידיים.  הערה:יש עומס גדול על גו תחתון לא מומלץ למתאמנים מתחילים או לסובלים מכאבי גו.",3,1
17,"חתירה עם מוט אולימפי בעמידה","דגשים לביצוע נכון: 1.אחיזה צרה,מרפקים קרובים לגוף. 2.מרפק מוביל תנועה. 3.בזמן ביצוע תרגיל יש להקפיד על גו ישר.  4.הוצאת אויר בזמן מאמץ(חתירה)והכנסת אויר בזמן יישור ידיים.  הערה:יש עומס גדול על גו תחתון לא מומלץ למתאמנים מתחילים או לסובלים מכאבי גו.",3,4
18,"pull over בשכיבה עם מוט","1.בזמן ביצוע התרגיל הידיים מעט כופפות על מנת להפעיל מייצבים במרפק. 2.יש לשים לב על גב תחתון שהוא לא עולה. 3.הוצאת אויר בזמן מאמץ(משיכה)והכנסת אויר בזמן חזרה לעמדת המוצא.",3,3
19,"משיכת פולי עליון באחיזה רחבה לחזה","דגשים לביצוע נכון: 1.הגו נוטה מעט לאחור. 2.התנועה במרפק לכיוון צלעות תחתונות. 3.הורדת המוט עד חזה עליון. 4.בזמן ביצוע תרגיל יש נטייה לבצע הרמת שכמות וכך יופעל טרפז עליון באופן דומיננטי יותר לכן מומלץ לבצע הורדת שכמות למטה .",3,5
